Question,Answer
Why should I sell on Flipkart?,"Flipkart is a trusted and leading e-commerce platform with over 45 crore+ customers across 19000+ pin codes in India. By selling on Flipkart, you gain access to a vast customer base and India's largest shopping festival, The Big Billion Days, along with other major shopping events. The cost of doing business on Flipkart is also low, providing a lucrative opportunity for sellers."
How does selling on Flipkart.com work?,"Selling on Flipkart.com is a simple process. Create an account with your GSTIN, valid mobile number, email ID, bank account, and address details. List your products on the platform and manage orders. You can choose to pack and ship the products yourself or utilise Flipkart's Fulfilment by Flipkart (FBF) service for hassle-free logistics management. Payments are disbursed within 7* days from the date of product dispatch"
What is the minimum listing quantity to sell on Flipkart.com?,"To start selling on Flipkart.com, you only need a minimum of 1 product to list. However, it is recommended to have more products to leverage the wide customer reach and trust of millions of Flipkart users."
What products can I sell on Flipkart.com?,"Flipkart.com offers a wide range of categories for sellers to choose from, including clothing, electronics, jewellery, home furnishings, books, mobiles, beauty products, kitchenware, and many more. However, some categories may require prior quality approval before going live on the platform."
What do I need to register to sell on Flipkart.com?,"To register and sell products on Flipkart.com, you will need the following details:
Business information
Contact details (email ID and phone number)
Tax registration details, such as GSTIN (mandatory for taxable products) and PAN (mandatory for Book Sellers)"
I don't have a website; can I still sell on Flipkart.com?,"Absolutely! You can sell on Flipkart.com without having a website. Once registered, you will gain access to the Flipkart Seller Hub, where you can list your products and start selling. Please note that Flipkart charges a small fee when your product is sold."
What is FAssured?,"FAssured by Flipkart is a special reliability program that offers additional visibility to your products. It includes extra quality checks and ensures faster delivery within 2-4 days. Having the FAssured tag guarantees more orders, increased visibility, faster delivery, and higher quality standards. By obtaining the FAssured badge, you can achieve better revenue and build trust with customers."
Can I offer both products and services on Flipkart.com?,"Currently, Flipkart allows sellers to offer only physical products for sale on the platform. However, as a third-party service provider, you can offer specific services to Flipkart sellers to assist them in growing their businesses."
Who decides the price of my products?,"As a seller on Flipkart.com, you have full control over the pricing of your products. You can set the price based on your business strategy and the market dynamics. The seller dashboard also provides analysis and recommendations to help you determine the optimal price for your products."
What are the charges for selling on Flipkart.com?,"Flipkart.com does not charge any fees for listing your products on its platform. However, upon a successful sale, there is a small marketplace fee applicable as a percentage of the selling price. You can refer to the Flipkart Seller Fee details for more information."
Will I get charged for listing products on Flipkart.com?,"No, there are no charges for listing your products on Flipkart.com. Listing your products is free of cost."
How and when do I get paid?,"Once your product is picked up and successfully delivered to the customer, you will receive payment within as fast as 7* days. Payments are securely and regularly transferred directly to your registered bank account after deducting the relevant Flipkart fees."
